Position_X,Position_Y,Velocity_X,Velocity_Y,Rotation_X,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Horizontal,Jump
-291.7168,-12.04998,-10,-3.998943,-1,1.716766,0.2828539,0.2000027,0.2828303,2.283203,3.228924,4.799996,10,0,-1,1
-289.7167,-8.551005,10,12.4949,1,10,2.402764,2.699016,5.231137,4.283234,1.839924,1.301026,1.839933,0,-1,1
-289.5503,-8.54998,0.01371742,-8,1,10,2.404222,2.700036,5.232595,4.449738,1.838466,1.300002,1.838496,0,-1,1
-291.3836,-12.04999,-9.986264,-20.00019,-1,1.383606,0.2828546,0.2000027,0.2828303,2.616364,3.700082,4.8,10,0,-1,1
-291.3836,-12.04999,0,0,-1,1.383606,0.2828546,0.2000027,0.2828303,2.616364,3.700082,4.8,10,0,-1,1
-291.3836,-12.04999,0,0,-1,1.383606,0.2828546,0.2000027,0.2828303,2.616364,3.700082,4.8,10,0,-1,1
-291.3836,-12.04999,0,0,-1,1.383606,0.2828546,0.2000027,0.2828303,2.616364,3.700082,4.8,10,0,-1,1
-291.3836,-12.04999,0,0,-1,1.383606,0.2828546,0.2000027,0.2828303,2.616364,3.700082,4.8,10,0,-1,1
-293.3837,-12.04999,-10,0,-1,3.383698,0.2828438,0.1999884,0.2828202,0.6163025,0.8715584,4.799989,6.788247,0,1,0
-293.3837,-12.04999,0,0,-1,3.383698,0.2828438,0.1999884,0.2828202,0.6163025,0.8715584,4.799989,6.788247,0,1,0
-291.3836,-8.551007,10,12.4949,1,10,3.370933,3.698982,3.700091,2.616333,1.839919,1.301021,1.839928,0,1,0
-291.2172,-8.549989,0.01371742,-8,1,10,3.135529,3.700002,3.93552,2.782806,1.838466,1.300002,1.838497,0,1,0
-293.0505,-12.04998,-9.986264,-19.99961,-1,3.050507,0.2828539,0.2000017,0.2828296,0.9494934,1.342738,4.79998,6.78824,0,1,0
-291.0505,-8.967492,10,14.4949,1,10,2.899771,3.282499,4.171253,2.949524,2.42891,1.717506,2.428943,0,1,0
-290.884,-8.28332,0.01371742,-5,1,10,2.781343,3.966674,4.40668,3.115967,1.461346,1.033335,1.461375,0,1,0
-290.8838,-11.38332,1.881675E-05,-23,1,0.883728,1.225663,0.8666735,1.225653,3.116241,4.406989,4.133336,10,0,1,0
-292.7727,-12.04999,-10,0,-1,2.772675,0.2828451,0.1999903,0.2828215,1.227295,1.735629,4.799996,9.616641,0,1,0
-293.55,-12.04999,-0.0001830608,0,-1,3.549957,0.2828195,0.1999836,0.2828175,0.4500122,0.6364107,4.799992,6.788249,0,1,0
-293.55,-8.551009,0,12.4949,-1,10,5.020398,3.698964,0.6363992,0.4499817,0.6363729,1.301011,1.839922,0,1,1
-291.7164,-8.54999,9.986282,-7.999944,1,10,3.818393,3.699998,3.22949,2.283569,1.838465,1.300001,1.838495,0,1,1
-289.7166,-11.05002,10,0,1,0.7165833,0.2828479,0.2000008,0.2828344,4.283386,5.374041,3.800041,1.013421,0,1,1
-289.45,-11.05002,0.0001830608,0,1,0.4500122,0.2828418,0.1999931,0.2828505,4.549957,5.374041,3.800042,0.6364484,0,1,1
-289.45,-11.05002,0,0,1,0.4500122,0.2828418,0.1999931,0.2828505,4.549957,5.374041,3.800042,0.6364484,0,1,1
-289.45,-11.05002,0,0,1,0.4500122,0.2828418,0.1999931,0.2828505,4.549957,5.374041,3.800042,0.6364484,0,1,1
-289.45,-11.05002,0.0001830608,0,1,0.4500122,0.2828418,0.1999931,0.2828505,4.549957,5.374041,3.800042,0.6364484,0,1,1
-289.45,-11.05002,0,0,1,0.4500122,0.2828418,0.1999931,0.2828505,4.549957,5.374041,3.800042,0.6364484,0,1,1
-288.2813,-8.049974,9.876543,2.861023E-05,1,10,3.111324,2.20005,5.939711,5.718658,1.131361,0.8000016,3.959778,0,1,1
-286.2834,-9.949969,9.99983,-16.99997,1,1.283356,0.424325,0.3000402,0.4243284,7.716644,3.818381,4.699974,10,0,1,1
-285.45,-10.05,0.0001830608,0,1,0.4500122,0.2828498,0.1999989,0.2828519,8.549957,3.959834,4.800013,0.6364484,0,1,0
-287.4501,-7.049999,-10,-0.0001430511,-1,10,3.464963,3.200019,7.353885,0.5498657,0.7776212,0.800005,2.545603,0,1,0
-287.9686,-9.150028,-8.888889,-18.00014,-1,10,1.555607,1.099993,4.384019,6.031342,2.687079,3.04047,6.929714,0,1,0
-289.9522,-10.28336,-10,-5,-1,0.9522095,1.346584,0.96667,2.781221,4.04776,4.289839,3.033377,8.532459,0,1,0
-289.2278,-9.000516,6.666667,18.4949,1,10,1.767072,2.249491,4.595449,4.772186,2.475616,1.750539,5.304039,0,1,0
-287.2833,-8.549972,9.995427,-7.999972,1,10,2.404216,1.700045,2.404255,6.716736,1.838468,2.29998,10,0,1,0
-285.45,-10.05,4.998962,0,1,0.4500122,0.2828498,0.1999989,0.2828519,8.549957,3.959834,4.800013,0.6364484,0,1,0
-284.2813,-6.551023,9.876543,12.4949,1,10,3.816952,2.699002,5.231179,3.718658,1.839932,2.301028,7.591683,0,1,0
-285.172,-6.561508,-8.888889,-9.000015,-1,10,3.80212,3.688494,5.216346,2.827942,1.854766,1.311519,8.728518,0,1,0
-285.3196,-9.050029,0,0,-1,10,0.4519518,1.199974,1.697031,8.68042,3.790609,3.800039,10,0,1,0
-286.653,-7.114172,0,-3.803006,-1,10,3.02056,3.135839,7.26313,1.347046,1.222123,1.864175,4.050552,0,-1,0
-284.8189,-9.050028,10,0,1,10,0.2828505,0.1999998,1.697007,9.181061,3.959855,4.800029,9.643389,0,-1,0
-284.8189,-9.050028,0,0,1,10,0.2828505,0.1999998,1.697007,9.181061,3.959855,4.800029,9.643389,0,-1,0
-284.8189,-6.049989,0,1.430511E-05,1,10,4.525503,3.200039,8.768135,2.181122,1.13136,1.79999,8.20238,0,-1,0
-286.6525,-7.949986,-9.986282,-16.99999,-1,10,2.336952,2.300026,3.252778,7.347473,1.905612,2.699988,10,0,-1,0
-288.6523,-8.617023,-10,20.4949,-1,10,2.309401,1.633003,5.137784,5.347656,1.933285,1.36705,4.761706,0,-1,0
-288.8188,-9.049978,-0.01371742,-12.00002,-1,10,1.697115,1.200049,4.525496,5.181213,2.545572,1.800004,6.788205,0,-1,0
-286.9671,-8.00053,10,18.4949,1,10,2.781864,2.249484,6.009638,7.032867,1.460727,2.75053,5.304072,0,-1,0
